call_id,consultant_first_name,member_number,member_full_name,member_mobile,member_email,member_address,call_transcript
1,Ava,15504108,Sophia Anthony Thomas,044587 140 333,sophia.thomas@example.com,"942 Elizabeth Street, Gold Coast QLD 4217","Agent: Hi, this is Ava from Bricks Health Insurance.
Agent: And your email address, please?
Customer: sophia.thomas@example.com.
Agent: Finally, could you provide your residential address?
Customer: 942 Elizabeth Street, Gold Coast QLD 4217.
Agent: May I have your mobile number?
Customer: 044587 140 333.
Agent: Could I please have your Bricks membership number?
Customer: 15504108.
Agent: Could you confirm your full name, please?
Customer: Sophia Anthony Thomas.
Agent: Thank you for verifying, Sophia. How can I assist you today?"
2,David,28001889,Emma Elizabeth Thomas,042443 594 714,emma.thomas@example.com,"551 Victoria Road, Melbourne VIC 3000","Agent: Hi, this is David from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Emma Elizabeth Thomas.
Agent: And your email address, please?
Customer: emma.thomas@example.com.
Agent: Finally, could you provide your residential address?
Customer: 551 Victoria Road, Melbourne VIC 3000.
Agent: Could I please have your Bricks membership number?
Customer: 28001889.
Agent: May I have your mobile number?
Customer: 042443 594 714.
Agent: Thank you for verifying, Emma. How can I assist you today?"
3,Sarah,28288734,Henry Elizabeth Jackson,044536 739 823,henry.jackson@example.com,"473 Pine Street, Sydney NSW 2000","Agent: Hi, this is Sarah from Bricks Health Insurance.
Agent: And your email address, please?
Customer: henry.jackson@example.com.
Agent: Finally, could you provide your residential address?
Customer: 473 Pine Street, Sydney NSW 2000.
Agent: Could I please have your Bricks membership number?
Customer: 28288734.
Agent: Could you confirm your full name, please?
Customer: Henry Elizabeth Jackson.
Agent: May I have your mobile number?
Customer: 044536 739 823.
Agent: Thank you for verifying, Henry. How can I assist you today?"
4,Noah,53376329,Ella Andrew White,044928 834 779,ella.white@example.com,"592 Pine Street, Sydney NSW 2000","Agent: Hi, this is Noah from Bricks Health Insurance.
Agent: And your email address, please?
Customer: ella.white@example.com.
Agent: Could you confirm your full name, please?
Customer: Ella Andrew White.
Agent: May I have your mobile number?
Customer: 044928 834 779.
Agent: Finally, could you provide your residential address?
Customer: 592 Pine Street, Sydney NSW 2000.
Agent: Could I please have your Bricks membership number?
Customer: 53376329.
Agent: Thank you for verifying, Ella. How can I assist you today?"
5,Liam,19393109,Daniel Anthony Anderson,044866 487 734,daniel.anderson@example.com,"325 Pine Street, Adelaide SA 5000","Agent: Hi, this is Liam from Bricks Health Insurance.
Agent: Finally, could you provide your residential address?
Customer: 325 Pine Street, Adelaide SA 5000.
Agent: And your email address, please?
Customer: daniel.anderson@example.com.
Agent: May I have your mobile number?
Customer: 044866 487 734.
Agent: Could you confirm your full name, please?
Customer: Daniel Anthony Anderson.
Agent: Could I please have your Bricks membership number?
Customer: 19393109.
Agent: Thank you for verifying, Daniel. How can I assist you today?"
6,Ava,42193043,Mia Andrew White,049208 263 854,mia.white@example.com,"44 Victoria Road, Newcastle NSW 2300","Agent: Hi, this is Ava from Bricks Health Insurance.
Agent: Could I please have your Bricks membership number?
Customer: 42193043.
Agent: Finally, could you provide your residential address?
Customer: 44 Victoria Road, Newcastle NSW 2300.
Agent: May I have your mobile number?
Customer: 049208 263 854.
Agent: And your email address, please?
Customer: mia.white@example.com.
Agent: Could you confirm your full name, please?
Customer: Mia Andrew White.
Agent: Thank you for verifying, Mia. How can I assist you today?"
7,David,88028681,Ella Anthony Smith,048919 508 156,ella.smith@example.com,"90 George Street, Newcastle NSW 2300","Agent: Hi, this is David from Bricks Health Insurance.
Agent: And your email address, please?
Customer: ella.smith@example.com.
Agent: May I have your mobile number?
Customer: 048919 508 156.
Agent: Could you confirm your full name, please?
Customer: Ella Anthony Smith.
Agent: Finally, could you provide your residential address?
Customer: 90 George Street, Newcastle NSW 2300.
Agent: Could I please have your Bricks membership number?
Customer: 88028681.
Agent: Thank you for verifying, Ella. How can I assist you today?"
8,Emma,17991356,Chloe Patrick Jackson,043229 605 444,chloe.jackson@example.com,"6 King Street, Darwin NT 0800","Agent: Hi, this is Emma from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Chloe Patrick Jackson.
Agent: Could I please have your Bricks membership number?
Customer: 17991356.
Agent: May I have your mobile number?
Customer: 043229 605 444.
Agent: Finally, could you provide your residential address?
Customer: 6 King Street, Darwin NT 0800.
Agent: And your email address, please?
Customer: chloe.jackson@example.com.
Agent: Thank you for verifying, Chloe. How can I assist you today?"
9,Sarah,13037420,Chloe Elizabeth Anderson,046965 420 547,chloe.anderson@example.com,"385 George Street, Perth WA 6000","Agent: Hi, this is Sarah from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Chloe Elizabeth Anderson.
Agent: May I have your mobile number?
Customer: 046965 420 547.
Agent: Finally, could you provide your residential address?
Customer: 385 George Street, Perth WA 6000.
Agent: And your email address, please?
Customer: chloe.anderson@example.com.
Agent: Could I please have your Bricks membership number?
Customer: 13037420.
Agent: Thank you for verifying, Chloe. How can I assist you today?"
10,Noah,24259288,Thomas James Wilson,047607 152 727,thomas.wilson@example.com,"793 Elizabeth Street, Newcastle NSW 2300","Agent: Hi, this is Noah from Bricks Health Insurance.
Agent: Could I please have your Bricks membership number?
Customer: 24259288.
Agent: Could you confirm your full name, please?
Customer: Thomas James Wilson.
Agent: And your email address, please?
Customer: thomas.wilson@example.com.
Agent: May I have your mobile number?
Customer: 047607 152 727.
Agent: Finally, could you provide your residential address?
Customer: 793 Elizabeth Street, Newcastle NSW 2300.
Agent: Thank you for verifying, Thomas. How can I assist you today?"
